name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"New York Fried Chicken, Boston","1985 Columbus Ave, Boston, MA 02119-1151",(1),0,0,1,0,0,,,,
"Starbucks, Boston","1 South Sta, Boston, MA 02110-2212",(1),0,0,1,0,0,Cafe,,,
"Jazzman's Cafe, Boston","1 Lincoln St State Street Financial Center, Boston, MA 02111-2901",(1),0,0,1,0,0,,,,
"Saigon one, Boston","1331 Dorchester Ave, Boston, MA 02122-2933",(1),0,0,1,0,0,Chinese,Asian,Thai,Vietnamese
"Curry House, Boston","102 Water St, Boston, MA 02109-4202",(1),0,0,1,0,0,,,,
"Dunkin', Boston","100 William T Morrissey Blvd, Boston, MA 02125-3300",(1),0,0,1,0,0,,,,
"Purple Shell, Boston","11 W Broadway, Boston, MA 02127-1139",(1),0,0,1,0,0,,,,
"Quiznos, Boston","510 Washington St, Boston, MA 02111-1723",(2),0,0,2,0,0,,,,
"Ashburton Cafe, Boston","1 Ashburton Pl, Boston, MA 02108-1518",(2),0,0,2,0,0,,,,
"Little Dig, Boston","98 A St, Boston, MA 02127-1100",(1),0,0,1,0,0,,,,
"Anna's Bakery, Boston","1035 Dorchester Ave, Boston, MA 02125-1402",(1),0,0,1,0,0,,,,
"U & D Kitchen, Boston","184 High St, Boston, MA 02110-3001",(1),0,0,1,0,0,,,,
"The Upper Crust Pizzeria, Boston","245 Summer St, Boston, MA 02210-1133",(1),0,0,1,0,0,Pizza,,,
"Molina's Restaurant, Boston","130 New Market Square, Boston, MA 02118-2622",(1),0,0,1,0,0,Spanish,,,
"Cote, Boston","115 Church St # 116, Boston, MA 02132-1010",(1),0,0,1,0,0,French,,,
"Rincon Caribeno Restaurant, Boston","18 Fairmount Ave, Boston, MA 02136-2716",(4),1,1,1,0,1,,,,
"Brigham Circle Chinese Food, Boston","728 Huntington Ave, Boston, MA 02115-6313",(5),1,1,0,1,2,Chinese,,,
"Pan Asia, Boston","720 E Broadway, Boston, MA 02127-1504",(7),1,0,6,0,0,$,Chinese,,
"Loaf and Ladle, Boston","483 East Broadway Street, Boston, MA 02127-4429",(1),0,1,0,0,0,,,,
"Captain Nemo's, Boston","367 Centre St, Boston, MA 02130-1241",(2),0,1,1,0,0,Pizza,,,
"Ming's Cafe, Boston","160 E Berkeley St, Boston, MA 02118-2206",(1),0,1,0,0,0,$,Chinese,Asian,
"Supreme House of Pizza, Boston","313 Old Colony Ave, Boston, MA 02127-3521",(1),0,1,0,0,0,,,,
"The Boylston Restaurant, Boston","907 Boylston St, Boston, MA 02115-3139",(1),0,1,0,0,0,,,,
"Marco Polo Restaurant, Boston","414 W Broadway, Boston, MA 02127-2215",(2),0,1,1,0,0,,,,
"Jimmies Ice Cream and Sandwiches, Boston","48 Corinth St, Boston, MA 02131-3029",(3),0,2,0,1,0,,,,
"Subway, Boston","205 Portland St, Boston, MA 02114",(10),0,1,4,1,0,$,,,
"Wingz  Xpress, Boston","563 Washington St, Boston, MA 02135-2528",(4),1,1,1,1,0,American,Barbecue,,
"Cafe Dino, Boston","2 Oliver St, Boston, MA 02109-4901",(1),0,1,0,0,0,,,,
"China Garden Restaurant, Boston","44 Harvard Ave, Boston, MA 02134-1706",(1),0,1,0,0,0,Chinese,,,
"Bosburger, Boston","1501 Dorchester Ave, Boston, MA 02122-1329",(1),0,0,1,0,0,,,,
"Sutton Pizza Restaurant, Boston","146 Boston St, Boston, MA 02125-1141",(1),0,0,1,0,0,Pizza,,,
"Rossini's Pizzeria & Trattoria, Boston","1252 Washington St, Boston, MA 02118-2109",(1),0,0,1,0,0,Italian,Pizza,,
"Tropical Island, Boston","148 Bowdoin St, Boston, MA 02122-1837",(1),0,0,1,0,0,,,,
"7-Eleven, Boston","673 E Broadway, Boston, MA 02127-1563",(1),0,0,1,0,0,,,,
"Hollywood Market & Deli, Boston","137 Pearl St, Boston, MA 02110-2413",(1),0,0,1,0,0,,,,
"Smashburger, Boston","545 Boylston St, Boston, MA 02116-3606",(1),0,0,1,0,0,,,,
"Mangia Neapolitan Pizza, Boston","7 Ellery St, Boston, MA 02127-2747",(1),0,0,1,0,0,Pizza,,,
"Nourish Your Soul, Boston","282 Cambridge St, Boston, MA 02114-3123",(1),0,0,1,0,0,$$ - $$$,Cafe,Healthy,
"Cafe Green Light, Boston","560 Harrison Ave, Boston, MA 02118-2436",(1),0,0,1,0,0,,,,
"Viga Italian Eatery & Caterer, Boston","140 Clarendon Street, Boston, MA 02116",(1),0,0,1,0,0,,,,
"Dimitrios Restaurant, Boston","1750 Dorchester Ave, Boston, MA 02124-2531",(1),0,0,1,0,0,Pizza,,,
"Jenny's Cafe, Boston","Harvard Art Museums, Harvard University, 32 Quincy St, Cambridge, Boston, MA 02138",(1),0,0,1,0,0,,,,
"Burger King, Boston","280 West Broadway St, Boston, MA 02127",(1),0,0,1,0,0,,,,
"Rabottini’s Pizza, Boston","182 Western Ave, Boston, MA 02134-1031",(1),0,0,1,0,0,Pizza,,,
"Riddick's House of Pizza, Boston","400 Neponset Ave, Boston, MA 02122-3134",(1),0,0,1,0,0,$,Italian,American,Brew Pub
"Pressed Juicery, Boston","288 Newbury St, Boston, MA 02115",(2),1,0,0,0,1,,,,
"Model Cafe, Boston","7 N Beacon St, Boston, MA 02134-1901",(2),0,1,0,0,1,,,,
"Chinese Restaurant, Boston","1746 Washington St, Boston, MA 02118-1828",(2),0,0,1,0,0,$$ - $$$,Chinese,,
"Domino's Pizza, Boston","450 Cambridge St, Boston, MA 02134-2030",(6),2,0,0,0,2,$,Pizza,,
"The Primavera Restaurant, Boston","289 Walk Hill St, Boston, MA 02131-3225",(3),0,2,0,0,1,$$ - $$$,Italian,American,Greek
"Taco Bell, Boston","1560 Vfw Parkway, Boston, MA 02132",(4),0,2,1,0,1,Mexican,,,
"The No. 1 Food, Boston","49 Warren St, Boston, MA 02119-3235",(1),0,0,0,0,1,Chinese,,,
"Great Chef Chinese Food on Chelsea St., Boston","390 Chelsea St, Boston, MA 02128-1481",(12),2,3,1,5,1,$$ - $$$,Chinese,Asian,
"Cajun & Grill, Boston","720 Atlantic Ave, Boston, MA 02111-2815",(2),0,1,0,1,0,Cajun & Creole,,,
"Popeyes Louisiana Kitchen, Boston","330 M L King Blvd, Boston, MA 02119-1868",(4),1,1,1,0,1,$,Fast Food,,
"Insomnia Cookies, Boston","708 Commonwealth Ave, Boston, MA 02215-2448",(7),2,0,2,1,2,$,Fast Food,,
"Wolfie's Kitchen & Bar, Boston","81 L St, Boston, MA 02127-3144",(4),1,0,1,2,0,American,,,
"Sky Lounge Rooftop & Terrace, Boston","65 Seaport Blvd 12th Floor at YOTEL Boston, Boston, MA 02210-2041",(13),1,3,2,4,2,$$ - $$$,American,,
"Yummee Chinese Restaurant, Boston","665 Tremont St Ste A, Boston, MA 02118-1211",(2),0,0,1,1,0,$$ - $$$,Chinese,,
"Burger King, Boston","100 Washington St, Boston, MA 02121",(5),0,1,3,1,0,,,,
"Pu Pu Restaurant, Boston","2060 Centre St West Roxbury, Boston, MA 02132-3328",(7),0,4,2,0,1,Chinese,,,
"Halal Indian Cuisine, Boston","736 Huntington Ave, Boston, MA 02115-6313",(3),1,1,0,0,1,$$ - $$$,Indian,,
"TGI Fridays, Boston","1626 Tremont Street, Boston, MA 02120",(10),1,3,3,0,3,,,,
"The Squeeling Pig, Boston","1885 Centre St corner Hasting & Centre Street, Boston, MA 02132-1947",(9),0,4,2,1,1,$$ - $$$,Irish,Bar,Pub
"Bourbon Street Cafe, Boston","350 Longwood Ave, Boston, MA 02115-5726",(7),1,1,3,1,1,$,Chinese,,
"Miami Restaurant, Boston","381 Centre St, Boston, MA 02130-1241",(8),2,1,2,0,2,$$ - $$$,Mexican,,
"Chipotle Mexican Grill, Boston","101 Summer St, Boston, MA 02110",(10),1,1,3,1,1,$,Mexican,,
"Caffe Nero, Boston","205-207 Newbury St, Boston, MA 02116-2579",(2),1,0,0,0,1,Cafe,,,
"Pulcinella Mozzarella Bar, Boston","78 Salem St, Boston, MA 02113-2206",(3),1,0,0,2,0,$$ - $$$,Italian,,
"Subway, Boston","121 High St Lbby 2, Boston, MA 02110-2416",(2),0,1,0,0,0,Deli,,,
"Legal Sea Foods, Boston","1 Harborside Dr Logan Airport, Terminal B Connector, Boston, MA 02128-2907",(3),0,0,1,1,0,$$ - $$$,,,
"McDonald's, Boston","417 Washington St Ste 7, Boston, MA 02108-5217",(4),0,1,0,0,1,,,,
South Boston Chinese Restaurant,"429 W Broadway, Boston, MA 02127-2218",(5),1,1,1,1,1,$$ - $$$,Chinese,,
"Dragon Chef, Boston","411 Washington St, Boston, MA 02108-5223",(1),0,0,1,0,0,$$ - $$$,Chinese,,
"Mrs. Murphy's Kitchen, Boston","782 Adams St, Boston, MA 02124-5104",(1),0,0,1,0,0,Pub,,,
"7-Eleven, Boston","125 Tremont St, Boston, MA 02108-4713",(1),0,0,1,0,0,,,,
"Serino's Italian Food, Boston","883 Hyde Park Ave, Boston, MA 02136-3215",(1),0,0,1,0,0,Italian,,,
"Milano Pizzeria and Pasta, Boston","60 Washington St, Boston, MA 02135-7429",(1),0,0,1,0,0,,,,
"7-Eleven, Boston","342 Hanover St, Boston, MA 02113-1917",(1),0,0,1,0,0,,,,
"Fuller's BU Pub, Boston","225 Bay State Rd, Boston, MA 02215-1405",(1),0,0,1,0,0,Pub,,,
"Which Wich, Boston","324A Newbury St Back Bay, Boston, MA 02115-2703",(1),0,0,1,0,0,,,,
"7-Eleven, Boston","684 Centre St, Boston, MA 02130-2516",(1),0,0,1,0,0,,,,
"Dunkin', Boston","400 Terminal Rd Terminal E Near C8, Boston, MA 02128",(1),0,0,1,0,0,,,,
"7-Eleven, Boston","2002 Beacon St, Boston, MA 02135-7795",(1),0,0,1,0,0,,,,
"M & M Ribs, Boston","82 Hampden St, Boston, MA 02119-2832",(1),0,0,1,0,0,Barbecue,,,
"Anna's Taqueria, Boston","800 Boylston Street Prudential Center, Boston, MA 02199",(1),0,0,1,0,0,,,,
"O Deli, Boston","190 High St, Boston, MA 02110-3031",(1),0,0,1,0,0,,,,
"Capiz Bar, Boston","606 Congress Street, Boston, MA 02210",(1),0,0,1,0,0,$$ - $$$,Pub,,
"7-Eleven, Boston","8 Park Plaza, Boston, MA 02116-3952",(1),0,0,1,0,0,,,,
"Domino's Pizza, Boston","64 Staniford St, Boston, MA 02114-2525",(6),3,0,0,0,2,Pizza,,,
"Dos Diablos, Boston","52 Gainsborough St, Boston, MA 02115-4552",(3),0,1,1,0,1,,,,
"McDonald's, Boston","1625 Vfw Pkwy, Boston, MA 02132-5546",(1),0,0,0,1,0,,,,
"Chau Bakery, Boston","1456 Dorchester Ave, Boston, MA 02122-1343",(1),0,0,0,1,0,,,,
"Pizza Etc, Boston","427 Faneuil St, Boston, MA 02135-1629",(5),0,2,1,1,1,,,,
"Dunkin', Boston","736 Cambridge St St. Elizabeth Hospital, Boston, MA 02135",(1),0,0,0,1,0,American,Cafe,,
"7-Eleven, Boston","70 East India Road, Boston, MA 02110-3306",(1),0,0,0,1,0,,,,
"Dunkin' Donuts, Boston","101 Summer St, Boston, MA 02110-1286",(3),0,1,0,1,0,,,,
"Simpli Bar & Bites, Boston","3840 Washington St, Boston, MA 02130-3761",(14),6,1,0,2,5,$$ - $$$,,,
"Adam Pizza, Boston","120 Blackstone St, Boston, MA 02109-1506",(2),0,0,0,1,1,Pizza,,,
"Domino's Pizza, Boston","4640 Washington St, Boston, MA 02131-4855",(1),0,0,0,1,0,Pizza,,,
"Cappy's Pizza, Boston","672 Truman Hwy, Boston, MA 02136-3518",(2),0,1,0,0,1,,,,
"Puritan Restaurant, Boston","735 William T Morrissey Blvd, Boston, MA 02122-3406",(1),0,0,0,1,0,,,,
"Fast Eddie's Pizza, Boston","1696 Commonwealth Ave, Boston, MA 02135-5602",(6),0,1,2,0,2,$,Pizza,Fast Food,
Boston pizza grill,"33 Willis St, Boston, MA 02125-1944",(1),0,0,0,1,0,Pizza,,,
"Burger King, Boston","1 Maverick Sq, Boston, MA 02128",(3),0,1,1,0,1,,,,
"Millys Cafe, Boston","432 Geneva Ave, Boston, MA 02122-1407",(1),0,0,0,0,1,,,,
"Brighton House of Pizza, Boston","218 Market St, Boston, MA 02135-1946",(2),0,0,0,2,0,,,,
"7-Eleven, Boston","261 Dartmouth St, Boston, MA 02116-3517",(3),0,0,1,0,1,,,,
"La Difference Restaurant, Boston","830 Blue Hill Ave, Boston, MA 02124-1607",(1),0,0,0,0,1,,,,
"Little Pizza King, Boston","389 Washington St Brighton, Boston, MA 02135-2731",(2),0,1,0,0,1,,,,
"StreetFood Revolution, Boston","48 Harvard Ave, Boston, MA 02134-1706",(1),0,0,0,0,1,Asian,,,
"Moon Villa Restaurant, Boston","15 Edinboro St # 19, Boston, MA 02111-2131",(18),1,5,3,3,4,$$ - $$$,Chinese,Seafood,Asian
"Tin Tin Buffet Restaurant, Boston","200 N Beacon St, Boston, MA 02135-2027",(20),2,3,4,3,5,$,Chinese,Asian,
"Charles River Bistro, Boston","1 David G Mugar Way, Boston, MA 02114-3214",(32),10,3,3,1,14,$$ - $$$,American,Contemporary,
"Sbarro, Boston","1 Harborside Dr Terminal C, Boston, MA 02128",(10),0,2,3,2,2,$,Italian,Pizza,
"Vino Volo, Boston","Airport Road Terminal A, Satellite Concourse, Food Court, Boston, MA 02128",(11),0,4,2,1,4,$$ - $$$,Cafe,Wine Bar,
"Blue Asia Co, Boston","113 Brighton Ave, Boston, MA 02134-2802",(3),0,1,0,0,2,,,,
"Market Lounge, Boston","120 Water St, Boston, MA 02109-4210",(3),0,0,2,0,1,,,,
"Pho Mai, Boston","8 Kneeland St, Boston, MA 02111-1515",(3),0,1,0,1,1,,,,
"Beijing Taste, Boston","99 Cambridge St, Boston, MA 02129-1225",(1),0,0,0,0,1,Chinese,,,
"Domino's Pizza, Boston","1672 Blue Hill Ave, Boston, MA 02126-2108",(1),0,0,0,0,1,Pizza,,,
"McDonald's, Boston","1650 Vfw Pky, Boston, MA 02132",(2),0,0,1,0,1,,,,
"Our House East, Boston","52 Gainsborough St, Boston, MA 02115-4552",(5),0,0,2,1,1,,,,
"Fromage Wine Bar and Restaurant, Boston","401 W Broadway, Boston, MA 02127-2217",(14),8,4,1,0,0,$$ - $$$,Italian,French,American
"Burger King, Boston","1610 Vfw Parkway, Boston, MA 02132",(5),0,2,1,0,1,,,,
"Libertine, Boston","125 Salem St, Boston, MA 02113-1762",(1),0,0,0,1,0,,,,
"New Hong Kong, Boston","14 Tremont St, Boston, MA 02135-2407",(1),0,0,0,1,0,Chinese,,,
"South End Buttery, Boston","37 Clarendon St, Boston, MA 02116-6114",(7),0,2,2,2,1,$$ - $$$,American,Bar,Cafe
"Dunkin', Boston","161 Charles St, Boston, MA 02114",(1),0,0,0,1,0,,,,
"Dunkin', Boston","711 Atlantic Ave, Boston, MA 02111",(1),0,0,0,1,0,,,,
"Domino's Pizza, Boston","163 Old Colony Ave, Boston, MA 02127-2409",(2),0,1,0,0,1,Pizza,,,
"Cafe Quattro, Boston","817 Harrison Ave, Boston, MA 02118-2904",(1),0,0,0,1,0,,,,
"Bushwood Cocktail Club, Boston","131 Broad St, Boston, MA 02110-3008",(1),0,0,0,1,0,$$ - $$$,Bar,Pub,
"Wendy's, Boston","530 American Legion Highway, Boston, MA 02131",(2),0,0,0,0,1,,,,
"JP Licks, Boston","24 District Ave Across from AMC Theater Entrance, Boston, MA 02125-1680",(1),0,0,0,1,0,,,,
"Young Kong Restaurant, Boston","300A Centre St, Boston, MA 02130-1404",(2),0,0,1,1,0,,,,
"Jimmy John's, Boston","60 Valentine St, Boston, MA 02119-1456",(3),0,1,0,2,0,American,,,
Wong's of Boston,"11 Winter St, Boston, MA 02108-4799",(5),1,2,0,1,1,$,Chinese,,
"McDonald's, Boston","1312 Hyde Park Ave, Boston, MA 02136",(1),0,0,0,1,0,,,,
"New China Restaurant, Boston","869 Harrison Ave, Boston, MA 02118-4004",(4),0,1,1,0,1,Chinese,,,
"LeeChen's Mexican Grill & Chinese Food, Boston","475 W Broadway, Boston, MA 02127-2218",(5),0,2,1,1,1,Mexican,Chinese,,
"Crispy Dough Pizzeria, Boston","1514 Tremont St, Boston, MA 02120-2928",(6),1,1,2,0,2,Pizza,,,
"McDonald's, Boston","700 Atlantic Ave, Boston, MA 02111",(4),0,0,1,0,1,$,,,
"T Sushi, Boston","350 Longwood Ave, Boston, MA 02115-5726",(2),0,0,1,1,0,Sushi,,,
"Cafe Mitti's, Boston","140 Brighton Ave, Boston, MA 02134-2811",(1),0,0,0,0,1,,,,
"Unique Food, Boston","145 Harvard Ave, Boston, MA 02134-2702",(1),0,0,0,0,1,,,,
"Au Bon Pain, Boston","75 Francis St Inside Brigham & Women’s Hospital, Boston, MA 02115-6110",(3),0,1,1,0,1,Deli,,,
"Burritos Pizzeria, Boston","1282 Hyde Park Ave, Boston, MA 02136-2702",(2),0,1,0,0,1,Mexican,Pizza,,
"Wok n Talk, Boston","525 Washington St, Boston, MA 02135-2526",(2),1,0,0,0,1,,,,
"Burger King, Boston","128 Tremont St, Boston, MA 02108",(20),0,1,3,1,4,$,Fast Food,,
"Wish, Boston","730 Massachusetts Ave, Boston, MA 02118-2317",,,,,,,,,,
"7-Eleven, Boston","555 E Broadway, Boston, MA 02127-4415",,,,,,,,,,
"Bangkok Pinto, Boston","1041 Tremont St, Boston, MA 02120-2103",,,,,,,,,,
"Sabreen Haziq, Boston","1480 Dorchester Ave, Boston, MA 02122-1344",(1),0,1,0,0,0,,,,
"Golden Krust Caribbean Restaurant, Boston","1614 Blue Hill Ave Mattapan, Boston, MA 02126-2121",(1),0,1,0,0,0,,,,
"Tequila Rain, Boston","3 Lansdowne St, Boston, MA 02215-3412",(15),1,1,2,1,10,Bar,Pub,,
"Domino's Pizza, Boston","1144 Saratoga St, Boston, MA 02128-1228",(6),1,1,0,1,3,Pizza,,,
"La Famiglia Spagnuolo, Boston","240 Hanover St, Boston, MA 02113-2303",(173),30,33,13,20,65,$$ - $$$,Italian,Pizza,
"Regal Cafe, Boston","686 Morton St 686 Morton Street Boston Ma 02126, Boston, MA 02126-1571",(2),0,0,0,0,2,$$$$,,,
"Myung Dong 1st Avenue, Boston","90 Harvard Ave, Boston, MA 02134-2821",(2),0,0,0,0,2,,,,
"Domino's Pizza, Boston","695 Truman Hwy Ste 1, Boston, MA 02136-3552",(2),0,0,0,0,2,Pizza,,,
"Burger King, Boston","944 Bennington St, Boston, MA 02128",(5),0,1,0,1,2,,,,
"T G I F, Boston","1626 Tremont St, Boston, MA 02120-1613",(7),0,0,1,2,3,,,,
"Laz Pizza Cafe, Boston","1746 Washington St, Boston, MA 02118-1828",(2),0,0,0,0,2,,,,
"Domino's Pizza, Boston","207 Adams St, Boston, MA 02122-1618",(3),0,0,1,0,2,Pizza,,,
"New York Fried Chicken, Boston","223 Bowdoin St, Boston, MA 02122-1809",,,,,,,,,,
"Cosi, Boston","500 Rutherford Avenue Hood Park Cafe, Boston, MA 02129",,,,,,,,,,
"Yakidy, Boston","278 Centre St, Boston, MA 02130-1638",,,,,,,,,,
"Nicholas Sub & Pizza Shop, Boston","600 Hyde Park Ave, Boston, MA 02131-3812",,,,,,,,,,
"Cappy's Pizza & Subs, Boston","304 Centre St, Boston, MA 02130-1434",,,,,,,,,,
"Dudley Square Grill, Boston","150 Dudley St, Boston, MA 02119-3232",,,,,,,,,,
"Bo-Shek, Boston","61 Beach St, Boston, MA 02111-2130",,,,,,,,,,
"Malaysian Industrial Development, Boston","10 Post Office Sq, Boston, MA 02109-4603",,,,,,,,,,
"Hub Hall, Boston","80 Causeway St, Boston, MA 02114-1603",,,,,,,,,,
"Miyako, Boston","279 Newbury St # A, Boston, MA 02116-2425",,,,,,,,,,
"Bailey And Sage, Boston","100 Federal St, Boston, MA 02110-1802",,,,,,,,,,
"Organic Restaurants, Boston","175 William F McClellan Hwy, Boston, MA 02128",,,,,,,,,,
"Dunkin', Boston","115 Forsyth St Northeastern - Shillman Hall, Boston, MA 02115",,,,,,,,,,
"Basil Fresh Cafe, Boston","433 Cambridge St, Boston, MA 02134-1788",,,,,,,,,,
"Daddy's Roast Beef, Boston","45 Kingston St, Boston, MA 02111-2208",,,,,,,,,,
"Jpizle Kitchen, Boston","536 Centre St Jamaica Plain, Boston, MA 02130-2004",,,,,,,,,,
"Johnny's Pizza and Fried Chicken, Boston","1917 Dorchester Ave, Boston, MA 02124-3730",,,,,,,,,,
"Canton House, Boston","1728 Dorchester Ave, Boston, MA 02124-2527",,,,,,,,,,
"Nomads restaurant, Boston","81 George Street Bn3 3ye, Boston, MA",,,,,,,,,,
"Flour Bakery, Boston","209 Cambridge St, Boston, MA 02114-2793",,,,,,,,,,
"Tremont Street Cafe, Boston","418 Tremont St, Boston, MA 02116-6309",,,,,,,,,,
"Unique Grill, Boston","304 Dudley St, Boston, MA 02119-2634",,,,,,,,,,
"Black Olive, Boston","38 Brooks St, Boston, MA 02135-1717",,,,,,,,,,
"FunTea Cafe, Boston","1472 Dorchester Ave, Boston, MA 02122-1344",,,,,,,,,,
Boston Gyro King,"454 Blue Hill Ave, Boston, MA 02121-4308",,,,,,,,,,
"Sweet Waffles + Boba, Boston","18 Hudson St, Boston, MA 02111-1939",,,,,,,,,,
"Sensing Restaurant, Boston","5 Battery St, Boston, MA 02109-1036",,,,,,,,,,
"Channel Fish Processing Co., Boston","18 Food Mart Rd, Boston, MA 02118-2802",,,,,,,,,,
"Tonic, Boston","Hyde Park Avenue, Boston, MA",,,,,,,,,,
"Baja Fresh, Boston","1 Faneuil Hall Market Pl, Boston, MA 02109-6117",,,,,,,,,,
"Caffe Bella Vita, Boston","30 Charles St, Boston, MA 02114-4602",(67),2,16,10,16,14,$$ - $$$,American,Deli,
"Brighton's Best Pizza, Boston","600 Washington St, Boston, MA 02135-2548",(1),0,0,0,0,1,,,,
"Domino's Pizza, Boston","1260 Boylston St Ste 2, Boston, MA 02215",(20),3,1,2,0,9,$,Pizza,Fast Food,
"Au Bon Pain 51, Boston","700 Atlantic Ave South Station, Boston, MA 02110-2112",(1),0,0,0,0,1,,,,
"Burger King, Boston","4594 Washington St, Boston, MA 02131",(1),0,0,0,0,1,,,,
"Canton Eatery, Boston","339 Meridian St, Boston, MA 02128-1655",(4),1,0,0,2,1,,,,
"Pizza Days, Boston","111 Brighton Ave, Boston, MA 02134-2802",(8),1,2,0,1,3,$,Pizza,,
"La Parrilla Restaurant, Boston","299 Hancock St, Boston, MA 02125-2146",(1),0,0,0,0,1,,,,
"Papa John's, Boston","1224 Dorchester Ave, Boston, MA 02125-1518",(4),1,0,1,1,1,,,,
"Imperial Kitchen, Boston","50 Corinth St, Boston, MA 02131-3029",(3),0,1,0,1,1,,,,
"Talk & Wok Cafe, Boston","1277 River St, Boston, MA 02136-2807",(3),0,1,0,1,1,Chinese,Cafe,Asian,
"Subway, Boston","417 Washington St Ste 11, Boston, MA 02108",(4),0,0,0,0,1,,,,
"Nan Ling Chinese Restaurant, Boston","179 Massachusetts Ave, Boston, MA 02115-3009",(7),1,0,0,1,3,Chinese,,,
"Napoles Restaurant, Boston","1233 Bennington St, Boston, MA 02128-1242",(1),0,0,0,0,1,,,,
"Wendy's, Boston","157-A Massachusetts Avenue, Boston, MA 02127",,,,,,,,,,
"Frazier's Cafe, Boston","98 Warren St, Boston, MA 02119-3209",,,,,,,,,,
"Mass Bay Company Restaurant, Boston","39 Dalton St, Boston, MA 02199-3901",,,,,,,,,,
"Crepes and More, Boston","700 Atlantic Ave, Boston, MA 02110-2112",,,,,,,,,,
"Kikka Sushi Noodle House, Boston","348 Harrison Ave Herald St., Boston, MA 02118-2237",,,,,,,,,,
"Potbelly Sandwich Shop, Boston","1 Federal St Suite 100D, Boston, MA 02110",,,,,,,,,,
"Top Secret Sandwiches, Boston","33A Boston Fish Pier, Boston, MA 02110",,,,,,,,,,
"Hogan's, Boston","8 Lincoln St, Boston, MA 02135-1408",,,,,,,,,,
"Pizzatalia, Boston","618 Shawmut Ave, Boston, MA 02118-3200",,,,,,,,,,
"Wingz & Tingz, Boston","388 Blue Hill Ave, Boston, MA 02121-4314",,,,,,,,,,
"El Triunfo, Boston","145 E Berkeley St, Boston, MA 02118-2207",,,,,,,,,,
"Subway, Boston","981 Tremont St, Boston, MA 02116",,,,,,,,,,
"CuppaCoffee, Boston","699 Boylston St, Boston, MA 02116-2848",,,,,,,,,,
"Falafel King, Boston","144 Tremont St, Boston, MA 02111-1202",,,,,,,,,,
"Ashmont, Boston","55 Talbot Ave, Boston, MA",,,,,,,,,,
"Mervin Restaurant, Boston","388 Blue Hill Ave, Boston, MA 02121-4314",,,,,,,,,,
"Yuet Sing Seafood, Boston","70 Smith St, Boston, MA 02120-2702",,,,,,,,,,
"McDonald's, Boston","2 S Station, Boston, MA 02110",,,,,,,,,,
"Sally's Sandwiches, Boston","492 Tremont St Between Berkeley & Appleton Streets, Boston, MA 02116-6309",,,,,,,,,,
"ChaTime- Harrison Ave, Boston","31 Harrison Ave, Boston, MA 02111-2059",,,,,,,,,,
"Beirut Restaurant, Boston","21 Beacon St Ste A, Boston, MA 02108-2804",,,,,,,,,,
"Eddie's Restaurant, Boston","2253 Washington St, Boston, MA 02119-3212",,,,,,,,,,
"Kipos Pizzeria & Restaurant, Boston","106 Bunker Hill St, Boston, MA 02129-3131",,,,,,,,,,
"Top Mix Bar & Kitchen, Boston","257 Norfolk Ave, Boston, MA 02119-3027",,,,,,,,,,
"Santo Domingo Restaurant and Cafeteria, Boston","179 Washington St, Boston, MA 02121-3604",,,,,,,,,,
"Kirin Teppanyaki & Wok, Boston","182 Brighton Ave, Boston, MA 02134-2031",,,,,,,,,,
"Walsh Seafoood, Boston","24 Fid Kennedy Ave, Boston, MA 02210-2408",,,,,,,,,,
"Denas Sub Shop, Boston","215 Essex St, Boston, MA 02111-2619",,,,,,,,,,
"Chilipa Brighton Ave, Boston","1 Brighton Ave, Boston, MA 02134-2357",,,,,,,,,,
"Ghost Pepper Taco + Tequila Bar, Boston","120 Savin Hill Ave Dorchester, Boston, MA 02125-3372",,,,,,,,,,
"Tri Seafood Restaurant, Boston","1616 Dorchester Ave Dorchester, Boston, MA 02122-1326",,,,,,,,,,
"Molly's Farmhouse Coffee, Boston","16 Preble St, Boston, MA 02127-3632",,,,,,,,,,
"Chuanway, Boston","28 Damrell St, Boston, MA 02127-2775",,,,,,,,,,
"The Fresh Press, Boston","1 Federal St, Boston, MA 02110-2012",,,,,,,,,,
"New Sushi Inc, Boston","106 Cambridge St, Boston, MA 02114-2524",,,,,,,,,,
"Vivi Bubble Tea, Boston","182 Massachusetts Ave, Boston, MA 02115-3011",,,,,,,,,,
"Fritay Restaurant, Boston","604 Blue Hill Ave, Boston, MA 02121-3211",,,,,,,,,,
"Wow Wings, Boston","250 Huntington Ave, Boston, MA 02115-4606",,,,,,,,,,
"Wow Wings, Boston","1625 Tremont St, Boston, MA 02120-1616",,,,,,,,,,
"Six West, Boston","6 W Broadway, Boston, MA 02127-1016",,,,,,,,,,
"China Pagoda, Boston","1616 Dorchester Ave, Boston, MA 02122-1326",,,,,,,,,,
"Vaughan Fish & Chips, Boston","1 Erie St, Boston, MA 02121-3707",,,,,,,,,,
"Jubilee Grille Pizzeria, Boston","45 Milk St, Boston, MA 02109-5105",,,,,,,,,,
"Ginger Exchange, Boston","1625 Tremont St, Boston, MA 02120-1616",,,,,,,,,,
"Sombrero Chiquito, Boston","197A Massachusetts Ave Fenway/Back Bay, Boston, MA 02115-3004",,,,,,,,,,
